               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  55,              1.0265,             0.52542,             0.87103,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061814,           0.0061814,           0.0061814
                  56,              1.0219,             0.52532,             0.87055,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061107,           0.0061107,           0.0061107
                  57,              1.0198,             0.52152,             0.87013,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  58,              1.0128,             0.51803,             0.86867,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059693,           0.0059693,           0.0059693
                  59,              1.0131,              0.5178,             0.86801,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058986,           0.0058986,           0.0058986
                  60,              1.0191,             0.52238,             0.86849,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058279,           0.0058279,           0.0058279
                  61,              1.0144,             0.51751,             0.86911,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057571,           0.0057571,           0.0057571
                  62,              1.0044,             0.51322,             0.86797,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056864,           0.0056864,           0.0056864
                  63,              1.0057,             0.51523,             0.86666,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056157,           0.0056157,           0.0056157
                  64,              1.0005,             0.51027,             0.86579,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  65,              1.0021,             0.51149,              0.8668,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054743,           0.0054743,           0.0054743
                  66,              1.0001,             0.51101,             0.86653,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054036,           0.0054036,           0.0054036
                  67,             0.99974,              0.5095,             0.86549,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053329,           0.0053329,           0.0053329
                  68,              1.0018,             0.51179,              0.8657,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052621,           0.0052621,           0.0052621
                  69,             0.99471,              0.5075,             0.86382,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051914,           0.0051914,           0.0051914
                  70,             0.98756,             0.50446,             0.86304,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051207,           0.0051207,           0.0051207
                  71,             0.98622,             0.50332,              0.8631,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  72,             0.98203,              0.4994,             0.86247,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049793,           0.0049793,           0.0049793
                  73,             0.98741,             0.50335,             0.86372,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049086,           0.0049086,           0.0049086
                  74,             0.97909,             0.49831,             0.86213,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048379,           0.0048379,           0.0048379
                  75,             0.97996,             0.49773,             0.86317,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047671,           0.0047671,           0.0047671
                  76,             0.97702,             0.49624,             0.86161,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046964,           0.0046964,           0.0046964
                  77,             0.97602,             0.49634,             0.86065,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046257,           0.0046257,           0.0046257
                  78,             0.97181,             0.49454,             0.86024,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  79,             0.97183,             0.49424,             0.86023,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044843,           0.0044843,           0.0044843
                  80,             0.96872,             0.49191,             0.85976,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044136,           0.0044136,           0.0044136
                  81,             0.96456,             0.48985,             0.85922,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043429,           0.0043429,           0.0043429
                  82,             0.96543,             0.49155,             0.85983,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042721,           0.0042721,           0.0042721
                  83,             0.95993,             0.48773,             0.86004,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042014,           0.0042014,           0.0042014
                  84,             0.96274,             0.48937,             0.85844,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041307,           0.0041307,           0.0041307
                  85,             0.96204,             0.48856,             0.85884,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  86,             0.95726,             0.48434,             0.85602,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039893,           0.0039893,           0.0039893
                  87,             0.95176,             0.48195,             0.85755,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039186,           0.0039186,           0.0039186
                  88,             0.94858,             0.48073,             0.85508,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038479,           0.0038479,           0.0038479
                  89,             0.94913,             0.48114,             0.85593,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037771,           0.0037771,           0.0037771
                  90,              0.9419,             0.47684,              0.8556,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037064,           0.0037064,           0.0037064
                  91,             0.94328,             0.47741,              0.8551,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036357,           0.0036357,           0.0036357
                  92,             0.94053,             0.47642,             0.85546,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  93,             0.93906,             0.47406,             0.85392,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034943,           0.0034943,           0.0034943
                  94,             0.93306,              0.4724,             0.85387,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034236,           0.0034236,           0.0034236
                  95,              0.9311,             0.47068,             0.85256,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033529,           0.0033529,           0.0033529
                  96,             0.93303,             0.47141,              0.8531,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032821,           0.0032821,           0.0032821
                  97,             0.93162,             0.47074,             0.85156,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032114,           0.0032114,           0.0032114
                  98,             0.92312,             0.46458,             0.85216,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031407,           0.0031407,           0.0031407
                  99,             0.92281,             0.46516,             0.85111,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                 100,             0.92108,             0.46467,             0.85201,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029993,           0.0029993,           0.0029993
                 101,              0.9197,              0.4656,             0.84894,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029286,           0.0029286,           0.0029286
                 102,             0.91748,             0.46247,             0.84871,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028579,           0.0028579,           0.0028579
                 103,             0.91568,             0.46209,              0.8492,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027871,           0.0027871,           0.0027871
                 104,             0.91081,             0.45897,             0.84823,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027164,           0.0027164,           0.0027164
                 105,             0.90857,             0.45855,             0.84813,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026457,           0.0026457,           0.0026457
                 106,             0.90782,             0.45524,             0.84807,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                 107,             0.90094,             0.45292,             0.84523,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025043,           0.0025043,           0.0025043
                 108,             0.90127,             0.45399,             0.84752,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024336,           0.0024336,           0.0024336
                 109,              0.8939,             0.44982,             0.84621,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023629,           0.0023629,           0.0023629
                 110,             0.89561,             0.45099,             0.84589,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022921,           0.0022921,           0.0022921
                 111,             0.89184,              0.4485,             0.84494,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022214,           0.0022214,           0.0022214
                 112,             0.88794,             0.44623,             0.84334,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021507,           0.0021507,           0.0021507
                 113,             0.88515,             0.44368,             0.84453,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                 114,             0.87871,             0.44059,              0.8437,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020093,           0.0020093,           0.0020093
                 115,             0.88165,             0.44186,             0.84334,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019386,           0.0019386,           0.0019386
                 116,             0.87837,              0.4409,             0.84217,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018679,           0.0018679,           0.0018679
                 117,             0.87304,             0.43722,             0.84288,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017971,           0.0017971,           0.0017971
                 118,             0.86655,             0.43443,             0.84083,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017264,           0.0017264,           0.0017264
                 119,             0.86585,             0.43296,             0.84105,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016557,           0.0016557,           0.0016557
                 120,             0.86458,             0.43333,             0.84097,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                 121,              0.8592,             0.42964,             0.84066,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015143,           0.0015143,           0.0015143
                 122,             0.85567,             0.42747,             0.83915,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014436,           0.0014436,           0.0014436
                 123,              0.8524,             0.42565,             0.83807,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013729,           0.0013729,           0.0013729
                 124,              0.8481,             0.42508,             0.83691,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013021,           0.0013021,           0.0013021
                 125,             0.80162,             0.39878,             0.83694,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012314,           0.0012314,           0.0012314
